,userid,lat,lng,center
958713,4466,38.95233387,-77.44794846,20
444404,1544,39.76354869,-86.33192882,34
763759,3252,42.05186993,-70.1855997,26
23305,112,30.25598585,-97.74692774,49
969760,4496,28.59640108,-81.3080442,22
666782,2845,38.89278645,-77.02292562,20
222269,687,41.79917844,-73.12394706,1
339959,1146,38.59447456,-121.28461979999999,5
647154,2758,35.35951902,-94.36317883,37
768175,3266,40.74920768,-73.96868348,1
204831,626,32.70626224,-97.31744571,3
153171,486,35.47980999,-97.52192527,25
901851,3965,30.26357091,-97.7326262,49
959030,4466,37.7731498,-122.44034509999999,5
56672,209,30.29537128,-97.71981061,49
454502,1614,39.73519653,-75.45920602,43
319922,1052,33.11320452,-117.10091340000001,46
504327,1922,32.68774588,-97.60036068,3
140715,457,40.77593922,-73.96573305,1
544213,2198,34.1122836,-117.5295888,9
151659,483,30.41333558,-97.67089807,49
160719,504,30.264627299999997,-97.74198174,49
952448,4396,41.88818141,-87.63072968,17
747986,3209,37.69523973,-121.9289297,5
311598,1010,28.55778155,-81.37840412,22
714939,3087,39.17984461,-76.67096615,20
1042582,4797,29.73040048,-95.41719433,41
571814,2352,37.4261752,-122.1664703,5
660905,2821,39.74936031,-89.70941591,31
602948,2532,42.93470929,-78.73195427,33
118689,398,34.04227965,-118.26596699999999,9
255479,796,53.48512177,-2.241200209,27
676906,2898,39.18535001,-96.56083345,14
192796,583,34.015123200000005,-118.49561010000001,9
954841,4420,37.79892105,-122.40853510000001,5
659670,2815,34.19443395,-118.34938079999999,9
678608,2909,33.9623972,-83.3977743,32
802478,3382,32.4093858,-88.70512043,16
649849,2775,42.79045423,-86.10911970000001,17
301048,976,43.03590623,-88.07449753,17
31599,133,37.77644458,-122.42588329999998,5
984773,4578,42.34358079,-71.0871489,26
695353,2996,38.63729366,-77.29398042,20
765906,3254,42.88987328,-71.47391507,26
354147,1198,30.36004506,-97.73484707,49
454759,1617,39.97942915,-76.73337852,20
155420,491,32.7525246,-97.3316997,3
39200,162,33.37921218,-111.9019716,0
323361,1073,40.87779045,-75.72557022,43
412618,1408,53.48147992,-2.253802508,27
447409,1562,32.87143255,-117.2103453,46
594687,2472,47.61618512,-122.3444885,10
603516,2537,39.75619741,-104.99415990000001,8
768861,3268,39.77574104,-85.98597276,34
631367,2685,39.04183745,-94.59140538,14
165863,520,33.44043039,-88.8686657,16
945892,4349,38.92288857,-77.22758197,20
640960,2730,42.63083529,-71.27159233,26
628019,2669,37.648557000000004,-77.693566,20
1034110,4780,32.94735527,-96.82799181,3
725094,3125,44.941337700000005,-93.19305824,12
312862,1010,28.59792015,-81.35033609999999,22
156593,491,32.68697475,-97.41436442,3
610256,2587,29.75289684,-95.37494128,41
1018054,4717,32.98154682,-97.160055,3
711570,3073,39.90140735,-75.17197609,43
493863,1827,21.28667023,-157.8137487,4
791337,3345,44.89038504,-93.44613949,12
101222,343,39.051792299999995,-94.5912061,14
357873,1201,39.951288700000006,-75.17495334,43
997510,4633,50.82149243,-0.14080238,2
775191,3291,45.10915003,-93.4925918,12
933178,4262,48.64833512,-123.4276199,10
380701,1304,34.03762547,-118.1307453,9
859987,3633,41.77327223,-88.15093323,17
873038,3733,30.27152895,-97.74413823,49
754908,3229,38.85053711,-77.04102516,20
1046197,4804,30.22104623,-97.75398731,49
499516,1886,51.45307839,-0.000772476,2
744182,3199,42.21529652,-83.35533142,11
149843,476,37.75968887,-122.42717739999999,5
9147,44,30.26460885,-97.7282381,49
738687,3167,33.6408152,-112.35627659999999,0
661274,2821,39.764151500000004,-89.70420873,31
340958,1146,36.14314713,-115.1573331,21
623417,2648,39.89576434,-85.97318314,34
673361,2884,41.29486602,-72.38031748,1
474515,1721,36.83036069,-76.06737522,20
581821,2366,32.8401678,-79.85801897,42
68253,241,47.66397873,-117.4001291,38
909658,4056,35.94193042,-89.87599758,39
136033,445,35.091485799999994,-85.18589832,32
640812,2730,42.88144808,-70.86679609999999,26
445396,1547,42.31867981,-7.881057739,45
738263,3167,33.65603089,-112.37376450000001,0
773313,3279,40.77681239,-73.97611856,1
169075,525,43.64789095,-72.31868293,26
235745,728,39.69513822,-104.8665074,8
137843,446,33.43036688,-112.0450115,0
609309,2583,32.97570412,-96.70077482,3
379517,1298,38.00915957,-121.87095819999999,5
43498,174,21.2673168,-157.78792819999998,4
951890,4394,40.01890962,-105.275352,8
164336,515,30.26623967,-97.7459085,49
409811,1404,32.37598152,-82.06318118,42
959125,4466,34.08329385,-118.3498078,9
650277,2779,39.054050200000006,-77.51224637,20
939499,4302,37.7810257,-122.46035249999998,5
449566,1584,37.80457931,-122.43284229999999,5
92158,323,38.37948662,-93.75518118,14
976587,4531,33.99905522,-81.03765273,42
499803,1888,38.88199088,-76.99498805,20
377539,1287,26.2887843,-80.2025907,7
258579,819,30.29447617,-97.78468240000001,49
863161,3667,30.32216509,-97.71521329999999,49
970961,4501,35.84108176,-78.68039131,13
100885,343,38.62701358,-90.34161365,31
